id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
22,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:31
25,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:33
28,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:40
31,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:59:42
34,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:01:53
37,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:07:51
40,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:09:39
43,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:06
46,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:10
49,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:15:09
52,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:18:25
55,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:22:07
56,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:22:27
59,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:24:10
62,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:28:28
65,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:29:20
68,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:21
71,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:23
74,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:39
77,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:41
80,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:46:58
83,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:52:56
86,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:56:31
89,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:59:09
92,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:41
95,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:43
98,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:45
101,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:54
